"tt0085276","Action,Drama,Romance"
"tt0085327","Action,Adventure,Comedy"
"tt0085333","Horror,Thriller"
"tt0085334","Comedy,Family"
"tt0085346","Comedy,Drama,Romance"
"tt0085382","Horror,Thriller"
"tt0085384","Comedy,Crime,Mystery"
"tt0085407","Drama,Horror,Sci-Fi"
"tt0085426","Sci-Fi"
"tt0085450","Comedy"
"tt0085470","Comedy"
"tt0085475","Drama,Music,Mystery"
"tt0085478","Comedy,Drama"
"tt0085496","Comedy,Drama"
"tt0085542","Adventure,Animation,Fantasy"
"tt0085549","Drama,Music,Romance"
"tt0085601","Action,Adventure,Comedy"
"tt0085615","Crime,Drama,Mystery"
"tt0085636","Horror,Mystery,Sci-Fi"
"tt0085694","Horror,Mystery,Thriller"
"tt0085701","Drama,Horror"
"tt0085743","Comedy,Drama"
"tt0085780","Horror"
"tt0085794","Comedy,Crime,Drama"
"tt0085809","Documentary,Music"
"tt0085811","Action,Adventure,Sci-Fi"
"tt0085852","Sci-Fi"
"tt0085859","Comedy,Drama"
"tt0085862","Action,Crime,Drama"
"tt0085894","Comedy,Romance,Sci-Fi"
"tt0085933","Drama,War"
"tt0085959","Comedy,Musical"
"tt0085970","Comedy,Drama"
"tt0085995","Adventure,Comedy"
"tt0086005","Adventure,Drama"
"tt0086006","Action,Adventure,Thriller"
"tt0086022","Drama"
"tt0086034","Action,Adventure,Thriller"
"tt0086058","Action,Drama,Thriller"
"tt0086066","Crime,Drama"
"tt0086087","Comedy,Drama,Romance"
"tt0086129","Comedy"
"tt0086143","Comedy,Romance"
"tt0086154","Crime,Horror,Mystery"
"tt0086190","Action,Adventure,Fantasy"
"tt0086197","Adventure,Biography,Drama"
"tt0086200","Comedy,Crime,Drama"
"tt0086216","Crime,Drama,Romance"
"tt0086250","Crime,Drama"
"tt0086312","Biography,Drama,History"
"tt0086320","Horror"
"tt0086336","Fantasy,Mystery,Thriller"
"tt0086355","Biography,Drama"
"tt0086356","Crime,Drama,Mystery"
"tt0086361","Drama,Music,Romance"
"tt0086366","Comedy,Music"
"tt0086373","Comedy,Crime,Sci-Fi"
"tt0086383","Action,Crime,Thriller"
"tt0086393","Action,Adventure,Comedy"
"tt0086423","Drama,Music"
"tt0086425","Comedy,Drama"
"tt0086429","Drama"
"tt0086450","Comedy"
"tt0086465","Comedy"
"tt0086491","Horror,Sci-Fi"
"tt0086508","Action,Drama,Thriller"
"tt0086510","Drama,War"
"tt0086525","Comedy,Romance"
"tt0086541","Horror,Sci-Fi,Thriller"
"tt0086543","Drama,Mystery,Thriller"
"tt0086551","Comedy,Crime,Mystery"
"tt0086567","Sci-Fi,Thriller"
"tt0086610","Horror,Sci-Fi"
"tt0086617","Drama,Romance,War"
"tt0086618","Action,Adventure,Comedy"
"tt0086619","Drama,Musical,Romance"
"tt0086637","Comedy"
"tt0086837","Adventure,Mystery,Sci-Fi"
"tt0086856","Adventure,Comedy,Romance"
"tt0086859","Action,Adventure,Crime"
